Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.1,15,0.207,0.296,-0.156,0.467
0.2,15,0.207,0.267,-0.156,0.556
0.3,15,0.178,0.237,-0.067,0.644
0.4,15,0.178,0.237,0.022,0.733
0.5,15,0.178,0.207,0.2,0.822
0.6,15,0.148,0.207,0.289,0.911
0.7,15,0.119,0.148,0.378,0.911
0.8,15,0.089,0.148,0.556,1
0.1,20,0.178,0.244,-0.133,0.4
0.2,20,0.178,0.222,-0.067,0.467
0.3,20,0.156,0.222,0,0.6
0.4,20,0.156,0.2,0.133,0.667
0.5,20,0.133,0.178,0.2,0.733
0.6,20,0.133,0.156,0.333,0.867
0.7,20,0.111,0.156,0.467,0.933
0.8,20,0.089,0.111,0.6,1
0.1,25,0.16,0.213,-0.12,0.36
0.2,25,0.16,0.196,-0.067,0.467
0.3,25,0.142,0.196,0.04,0.573
0.4,25,0.142,0.16,0.147,0.68
0.5,25,0.124,0.16,0.253,0.733
0.6,25,0.107,0.142,0.36,0.84
0.7,25,0.089,0.124,0.467,0.893
0.8,25,0.089,0.107,0.627,0.947
0.1,30,0.148,0.193,-0.111,0.333
0.2,30,0.148,0.193,-0.022,0.422
0.3,30,0.133,0.163,0.067,0.556
0.4,30,0.119,0.163,0.156,0.644
0.5,30,0.119,0.148,0.244,0.733
0.6,30,0.104,0.133,0.378,0.822
0.7,30,0.089,0.119,0.511,0.867
0.8,30,0.074,0.104,0.6,0.956
0.1,35,0.14,0.19,-0.105,0.314
0.2,35,0.127,0.165,0.01,0.429
0.3,35,0.127,0.165,0.086,0.505
0.4,35,0.114,0.152,0.2,0.619
0.5,35,0.102,0.14,0.276,0.695
0.6,35,0.089,0.127,0.39,0.771
0.7,35,0.076,0.102,0.505,0.886
0.8,35,0.063,0.089,0.619,0.962
0.1,40,0.133,0.167,-0.1,0.3
0.2,40,0.122,0.156,0,0.4
0.3,40,0.122,0.156,0.1,0.5
0.4,40,0.111,0.144,0.2,0.6
0.5,40,0.1,0.122,0.3,0.7
0.6,40,0.089,0.111,0.4,0.767
0.7,40,0.078,0.1,0.533,0.867
0.8,40,0.067,0.078,0.633,0.933
0.1,45,0.128,0.158,-0.067,0.289
0.2,45,0.119,0.148,0.022,0.407
0.3,45,0.109,0.138,0.111,0.496
0.4,45,0.099,0.128,0.2,0.585
0.5,45,0.089,0.119,0.319,0.674
0.6,45,0.079,0.109,0.407,0.763
0.7,45,0.069,0.099,0.526,0.852
0.8,45,0.059,0.079,0.644,0.941
0.1,50,0.116,0.151,-0.067,0.28
0.2,50,0.107,0.142,0.013,0.387
0.3,50,0.107,0.133,0.12,0.493
0.4,50,0.089,0.124,0.227,0.573
0.5,50,0.089,0.116,0.307,0.68
0.6,50,0.071,0.098,0.413,0.76
0.7,50,0.071,0.089,0.547,0.84
0.8,50,0.053,0.071,0.653,0.92
0.1,60,0.104,0.141,-0.044,0.267
0.2,60,0.096,0.133,0.044,0.356
0.3,60,0.096,0.126,0.133,0.467
0.4,60,0.089,0.111,0.222,0.556
0.5,60,0.081,0.104,0.333,0.667
0.6,60,0.074,0.096,0.444,0.756
0.7,60,0.059,0.081,0.556,0.844
0.8,60,0.052,0.067,0.667,0.911
0.1,70,0.095,0.127,-0.048,0.257
0.2,70,0.089,0.121,0.048,0.352
0.3,70,0.083,0.114,0.143,0.448
0.4,70,0.083,0.108,0.238,0.562
0.5,70,0.076,0.095,0.352,0.638
0.6,70,0.063,0.089,0.448,0.733
