Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.7,70,0.057,0.076,0.562,0.829
0.8,70,0.044,0.063,0.676,0.905
0.1,80,0.089,0.117,-0.033,0.233
0.2,80,0.083,0.111,0.067,0.35
0.3,80,0.083,0.106,0.15,0.45
0.4,80,0.078,0.1,0.25,0.55
0.5,80,0.067,0.083,0.35,0.633
0.6,80,0.061,0.078,0.467,0.733
0.7,80,0.056,0.072,0.567,0.817
0.8,80,0.044,0.056,0.7,0.9
0.1,90,0.089,0.114,-0.022,0.23
0.2,90,0.079,0.109,0.067,0.333
0.3,90,0.079,0.104,0.156,0.437
0.4,90,0.074,0.094,0.274,0.541
0.5,90,0.064,0.084,0.363,0.63
0.6,90,0.059,0.074,0.467,0.719
0.7,90,0.049,0.069,0.585,0.807
0.8,90,0.04,0.054,0.689,0.896
0.1,100,0.08,0.107,-0.013,0.227
0.2,100,0.076,0.102,0.08,0.333
0.3,100,0.071,0.093,0.173,0.427
0.4,100,0.071,0.084,0.267,0.533
0.5,100,0.062,0.08,0.373,0.627
0.6,100,0.053,0.071,0.48,0.72
0.7,100,0.049,0.062,0.587,0.8
0.8,100,0.04,0.053,0.707,0.893
0.1,150,0.068,0.086,0.004,0.2
0.2,150,0.065,0.083,0.093,0.307
0.3,150,0.059,0.077,0.191,0.404
0.4,150,0.056,0.074,0.289,0.511
0.5,150,0.05,0.065,0.396,0.6
0.6,150,0.044,0.059,0.502,0.698
0.7,150,0.039,0.05,0.609,0.787
0.8,150,0.033,0.041,0.716,0.876
0.1,200,0.058,0.073,0.013,0.187
0.2,200,0.056,0.071,0.107,0.293
0.3,200,0.051,0.067,0.207,0.393
0.4,200,0.047,0.06,0.307,0.493
0.5,200,0.044,0.056,0.407,0.587
0.6,200,0.04,0.051,0.513,0.68
0.7,200,0.033,0.042,0.62,0.773
0.8,200,0.024,0.036,0.733,0.86
0.1,250,0.052,0.068,0.024,0.179
0.2,250,0.05,0.062,0.12,0.28
0.3,250,0.046,0.06,0.221,0.387
0.4,250,0.043,0.055,0.317,0.483
0.5,250,0.037,0.05,0.419,0.579
0.6,250,0.036,0.046,0.525,0.675
0.7,250,0.03,0.039,0.627,0.765
0.8,250,0.023,0.032,0.739,0.856
0.1,300,0.047,0.061,0.031,0.173
0.2,300,0.044,0.059,0.124,0.276
0.3,300,0.041,0.053,0.222,0.378
0.4,300,0.039,0.05,0.324,0.476
0.5,300,0.036,0.046,0.427,0.573
0.6,300,0.033,0.041,0.529,0.667
0.7,300,0.028,0.036,0.636,0.76
0.8,300,0.022,0.028,0.742,0.853
