Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.1,15,0.176,0.208,-0.12,0.36
0.2,15,0.144,0.208,-0.04,0.52
0.3,15,0.144,0.192,0.04,0.6
0.4,15,0.128,0.176,0.12,0.68
0.5,15,0.112,0.176,0.2,0.76
0.6,15,0.112,0.144,0.28,0.84
0.7,15,0.096,0.128,0.44,0.92
0.8,15,0.064,0.096,0.52,1
0.1,20,0.144,0.18,-0.08,0.34
0.2,20,0.132,0.18,-0.02,0.46
0.3,20,0.12,0.156,0.04,0.58
0.4,20,0.108,0.156,0.16,0.64
0.5,20,0.108,0.144,0.22,0.76
0.6,20,0.096,0.132,0.34,0.82
0.7,20,0.084,0.108,0.46,0.88
0.8,20,0.06,0.096,0.58,1
0.1,25,0.125,0.163,-0.104,0.328
0.2,25,0.115,0.154,-0.008,0.424
0.3,25,0.106,0.144,0.088,0.568
0.4,25,0.106,0.134,0.184,0.616
0.5,25,0.096,0.125,0.28,0.712
0.6,25,0.086,0.115,0.376,0.808
0.7,25,0.067,0.096,0.472,0.904
0.8,25,0.058,0.077,0.616,0.952
0.1,30,0.112,0.152,-0.08,0.28
0.2,30,0.112,0.144,0,0.4
0.3,30,0.104,0.136,0.08,0.52
0.4,30,0.088,0.12,0.2,0.6
0.5,30,0.088,0.112,0.28,0.72
0.6,30,0.08,0.104,0.4,0.8
0.7,30,0.064,0.088,0.52,0.88
0.8,30,0.056,0.072,0.64,0.96
0.1,35,0.103,0.137,-0.063,0.28
0.2,35,0.103,0.13,0.006,0.383
0.3,35,0.089,0.117,0.109,0.486
0.4,35,0.089,0.117,0.211,0.589
0.5,35,0.082,0.103,0.314,0.691
0.6,35,0.069,0.089,0.417,0.76
0.7,35,0.062,0.082,0.52,0.863
0.8,35,0.048,0.069,0.657,0.931
0.1,40,0.096,0.132,-0.05,0.28
0.2,40,0.09,0.12,0.04,0.37
0.3,40,0.084,0.114,0.13,0.49
0.4,40,0.078,0.102,0.22,0.58
0.5,40,0.072,0.096,0.31,0.67
0.6,40,0.066,0.084,0.43,0.76
0.7,40,0.06,0.078,0.52,0.85
0.8,40,0.048,0.066,0.64,0.94
0.1,45,0.096,0.117,-0.04,0.253
0.2,45,0.08,0.107,0.04,0.387
0.3,45,0.08,0.107,0.12,0.467
0.4,45,0.075,0.101,0.227,0.573
0.5,45,0.069,0.091,0.333,0.68
0.6,45,0.059,0.08,0.44,0.76
0.7,45,0.053,0.075,0.547,0.84
0.8,45,0.043,0.059,0.653,0.92
0.1,50,0.086,0.11,-0.032,0.256
0.2,50,0.086,0.11,0.04,0.376
0.3,50,0.077,0.101,0.136,0.472
0.4,50,0.072,0.091,0.232,0.568
0.5,50,0.067,0.086,0.328,0.664
0.6,50,0.058,0.077,0.448,0.76
0.7,50,0.048,0.067,0.544,0.832
0.8,50,0.038,0.053,0.664,0.904
0.1,60,0.08,0.1,-0.02,0.24
0.2,60,0.072,0.096,0.06,0.34
0.3,60,0.068,0.092,0.16,0.44
0.4,60,0.06,0.084,0.24,0.541
0.5,60,0.06,0.076,0.36,0.64
0.6,60,0.052,0.072,0.46,0.74
0.7,60,0.044,0.06,0.56,0.82
0.8,60,0.036,0.052,0.68,0.9
0.1,70,0.072,0.096,-0.011,0.229
0.2,70,0.069,0.089,0.074,0.331
0.3,70,0.065,0.082,0.16,0.434
0.4,70,0.058,0.079,0.263,0.537
0.5,70,0.055,0.072,0.366,0.64
0.6,70,0.048,0.065,0.469,0.726
0.7,70,0.041,0.055,0.571,0.811
0.8,70,0.034,0.045,0.691,0.897
0.1,80,0.066,0.087,-0.005,0.22
0.2,80,0.063,0.084,0.085,0.325
0.3,80,0.06,0.078,0.175,0.43
0.4,80,0.054,0.075,0.265,0.535
0.5,80,0.051,0.069,0.37,0.625
0.6,80,0.048,0.06,0.475,0.715
0.7,80,0.039,0.054,0.58,0.805
0.8,80,0.033,0.045,0.7,0.895
0.1,90,0.064,0.083,0,0.213
0.2,90,0.059,0.077,0.08,0.32
0.3,90,0.056,0.075,0.173,0.427
0.4,90,0.051,0.067,0.28,0.533
0.5,90,0.048,0.064,0.373,0.613
0.6,90,0.043,0.059,0.48,0.72
0.7,90,0.037,0.051,0.587,0.8
0.8,90,0.029,0.04,0.707,0.893
0.1,100,0.06,0.079,0.004,0.208
0.2,100,0.058,0.074,0.088,0.316
0.3,100,0.053,0.07,0.184,0.412
0.4,100,0.05,0.065,0.28,0.52
0.5,100,0.046,0.06,0.388,0.616
0.6,100,0.041,0.053,0.484,0.712
0.7,100,0.036,0.048,0.592,0.796
0.8,100,0.029,0.038,0.712,0.88
0.1,150,0.05,0.064,0.024,0.184
0.2,150,0.046,0.061,0.112,0.296
0.3,150,0.042,0.056,0.208,0.392
0.4,150,0.04,0.053,0.304,0.496
0.5,150,0.037,0.046,0.408,0.592
0.6,150,0.034,0.043,0.512,0.688
0.7,150,0.029,0.037,0.616,0.784
0.8,150,0.024,0.032,0.728,0.872
0.1,200,0.042,0.055,0.028,0.172
0.2,200,0.04,0.053,0.124,0.28
0.3,200,0.038,0.049,0.22,0.382
0.4,200,0.035,0.044,0.316,0.484
0.5,200,0.032,0.042,0.418,0.58
0.6,200,0.029,0.038,0.52,0.676
0.7,200,0.024,0.032,0.628,0.772
0.8,200,0.02,0.026,0.736,0.862
0.1,250,0.038,0.049,0.035,0.165
0.2,250,0.036,0.047,0.131,0.27
0.3,250,0.034,0.044,0.227,0.371
0.4,250,0.031,0.04,0.328,0.477
0.5,250,0.028,0.036,0.429,0.573
0.6,250,0.025,0.033,0.53,0.669
0.7,250,0.023,0.03,0.635,0.765
0.8,250,0.017,0.024,0.741,0.851
0.1,300,0.034,0.044,0.044,0.16
0.2,300,0.032,0.042,0.136,0.264
0.3,300,0.03,0.04,0.232,0.368
0.4,300,0.029,0.038,0.332,0.468
0.5,300,0.026,0.034,0.432,0.564
0.6,300,0.023,0.03,0.536,0.664
0.7,300,0.02,0.026,0.64,0.76
0.8,300,0.017,0.022,0.748,0.852
