Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.1,15,0.3,0.35,-0.3,0.5
0.2,15,0.25,0.35,-0.2,0.6
0.3,15,0.25,0.3,-0.1,0.7
0.4,15,0.25,0.3,0,0.8
0.5,15,0.2,0.3,0.1,0.8
0.6,15,0.2,0.25,0.2,0.9
0.7,15,0.15,0.2,0.4,1
0.8,15,0.15,0.2,0.5,1
0.1,20,0.225,0.3,-0.2,0.4
0.2,20,0.225,0.3,-0.125,0.55
0.3,20,0.225,0.263,-0.05,0.625
0.4,20,0.188,0.263,0.1,0.7
0.5,20,0.188,0.225,0.175,0.775
0.6,20,0.15,0.225,0.25,0.85
0.7,20,0.15,0.188,0.4,0.925
0.8,20,0.113,0.15,0.55,1
0.1,25,0.21,0.27,-0.2,0.4
0.2,25,0.21,0.27,-0.08,0.46
0.3,25,0.18,0.24,-0.02,0.58
0.4,25,0.18,0.24,0.1,0.7
0.5,25,0.15,0.21,0.22,0.76
0.6,25,0.15,0.18,0.34,0.82
0.7,25,0.12,0.15,0.46,0.94
0.8,25,0.09,0.12,0.58,1
0.1,30,0.2,0.25,-0.15,0.35
0.2,30,0.175,0.25,-0.05,0.45
0.3,30,0.175,0.225,0.05,0.55
0.4,30,0.15,0.2,0.15,0.65
0.5,30,0.15,0.2,0.25,0.75
0.6,30,0.125,0.175,0.35,0.8
0.7,30,0.125,0.15,0.45,0.9
0.8,30,0.1,0.125,0.6,0.95
0.1,35,0.171,0.236,-0.157,0.357
0.2,35,0.171,0.236,-0.03,0.443
0.3,35,0.171,0.214,0.057,0.529
0.4,35,0.15,0.193,0.143,0.657
0.5,35,0.129,0.171,0.271,0.743
0.6,35,0.129,0.15,0.357,0.786
0.7,35,0.107,0.129,0.486,0.871
0.8,35,0.086,0.107,0.614,0.957
0.1,40,0.169,0.225,-0.125,0.325
0.2,40,0.15,0.206,-0.013,0.438
0.3,40,0.15,0.206,0.063,0.55
0.4,40,0.131,0.188,0.175,0.625
0.5,40,0.131,0.169,0.288,0.7
0.6,40,0.113,0.15,0.4,0.813
0.7,40,0.094,0.131,0.513,0.888
0.8,40,0.075,0.113,0.625,0.925
0.1,45,0.167,0.217,-0.1,0.333
0.2,45,0.15,0.2,0,0.433
0.3,45,0.133,0.183,0.067,0.533
0.4,45,0.133,0.167,0.167,0.6
0.5,45,0.117,0.15,0.3,0.7
0.6,45,0.1,0.133,0.4,0.8
0.7,45,0.1,0.117,0.533,0.867
0.8,45,0.083,0.1,0.633,0.933
0.1,50,0.15,0.195,-0.11,0.31
0.2,50,0.15,0.18,-0.02,0.4
0.3,50,0.135,0.165,0.1,0.49
0.4,50,0.12,0.165,0.19,0.61
0.5,50,0.105,0.15,0.31,0.7
0.6,50,0.105,0.135,0.4,0.76
0.7,50,0.09,0.12,0.52,0.85
0.8,50,0.075,0.09,0.64,0.94
0.1,60,0.138,0.175,-0.075,0.3
0.2,60,0.125,0.175,0,0.4
0.3,60,0.125,0.163,0.125,0.5
0.4,60,0.113,0.15,0.225,0.575
0.5,60,0.1,0.138,0.325,0.675
0.6,60,0.088,0.125,0.425,0.75
0.7,60,0.075,0.1,0.55,0.85
0.8,60,0.063,0.088,0.65,0.925
0.1,70,0.129,0.161,-0.071,0.271
0.2,70,0.118,0.15,0.014,0.379
0.3,70,0.107,0.15,0.121,0.486
0.4,70,0.107,0.139,0.229,0.571
0.5,70,0.096,0.129,0.336,0.657
0.6,70,0.086,0.107,0.443,0.743
0.7,70,0.075,0.096,0.55,0.829
0.8,70,0.064,0.075,0.679,0.914
0.1,80,0.122,0.15,-0.069,0.269
0.2,80,0.113,0.15,0.025,0.363
0.3,80,0.103,0.141,0.138,0.456
0.4,80,0.094,0.122,0.231,0.55
0.5,80,0.094,0.122,0.344,0.644
0.6,80,0.075,0.103,0.456,0.738
0.7,80,0.066,0.084,0.569,0.831
0.8,80,0.056,0.075,0.681,0.906
0.1,90,0.108,0.15,-0.05,0.25
0.2,90,0.108,0.133,0.05,0.35
0.3,90,0.1,0.125,0.15,0.45
0.4,90,0.092,0.117,0.25,0.55
0.5,90,0.083,0.108,0.35,0.65
0.6,90,0.075,0.1,0.45,0.733
0.7,90,0.067,0.083,0.583,0.817
0.8,90,0.05,0.067,0.683,0.9
0.1,100,0.105,0.135,-0.035,0.25
0.2,100,0.098,0.128,0.055,0.355
0.3,100,0.09,0.12,0.16,0.445
0.4,100,0.09,0.113,0.25,0.535
0.5,100,0.083,0.105,0.355,0.64
0.6,100,0.068,0.09,0.46,0.73
0.7,100,0.06,0.083,0.58,0.82
0.8,100,0.053,0.068,0.7,0.895
0.1,150,0.085,0.115,-0.02,0.22
0.2,150,0.08,0.105,0.08,0.32
0.3,150,0.075,0.1,0.18,0.42
0.4,150,0.07,0.09,0.28,0.51
0.5,150,0.065,0.085,0.38,0.61
0.6,150,0.06,0.075,0.49,0.7
0.7,150,0.05,0.065,0.6,0.79
0.8,150,0.04,0.055,0.72,0.88
0.1,200,0.075,0.098,-0.005,0.198
0.2,200,0.071,0.09,0.1,0.303
0.3,200,0.064,0.086,0.198,0.4
0.4,200,0.06,0.079,0.295,0.505
0.5,200,0.056,0.071,0.4,0.595
0.6,200,0.049,0.064,0.513,0.693
0.7,200,0.045,0.056,0.618,0.783
0.8,200,0.034,0.045,0.73,0.865
0.1,250,0.069,0.087,0.01,0.19
0.2,250,0.063,0.081,0.106,0.292
0.3,250,0.06,0.078,0.208,0.394
0.4,250,0.054,0.069,0.31,0.49
0.5,250,0.051,0.066,0.412,0.586
0.6,250,0.045,0.06,0.52,0.682
0.7,250,0.039,0.051,0.622,0.772
0.8,250,0.033,0.042,0.736,0.862
0.1,300,0.063,0.08,0.015,0.185
0.2,300,0.058,0.075,0.115,0.285
0.3,300,0.055,0.07,0.215,0.385
0.4,300,0.05,0.065,0.315,0.485
0.5,300,0.045,0.06,0.42,0.58
0.6,300,0.04,0.053,0.525,0.675
0.7,300,0.035,0.045,0.63,0.765
0.8,300,0.03,0.038,0.74,0.855
