Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.6,250,0.063,0.083,0.53,0.669
0.7,250,0.074,0.096,0.635,0.765
0.8,250,0.092,0.118,0.746,0.851
0.1,300,0.038,0.05,0.044,0.16
0.2,300,0.042,0.055,0.136,0.264
0.3,300,0.044,0.057,0.236,0.368
0.4,300,0.048,0.062,0.332,0.468
0.5,300,0.051,0.066,0.436,0.568
0.6,300,0.059,0.076,0.536,0.664
0.7,300,0.067,0.088,0.64,0.76
0.8,300,0.082,0.107,0.748,0.848
