Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.1,80,0.087,0.113,-0.016,0.219
0.2,80,0.091,0.118,0.078,0.328
0.3,80,0.096,0.125,0.172,0.438
0.4,80,0.107,0.141,0.266,0.531
0.5,80,0.113,0.152,0.359,0.641
0.6,80,0.13,0.167,0.469,0.719
0.7,80,0.148,0.196,0.578,0.813
0.8,80,0.196,0.261,0.688,0.891
0.1,90,0.081,0.107,-0.014,0.222
0.2,90,0.087,0.114,0.083,0.319
0.3,90,0.093,0.118,0.167,0.431
0.4,90,0.1,0.13,0.264,0.528
0.5,90,0.112,0.145,0.375,0.625
0.6,90,0.125,0.167,0.486,0.722
0.7,90,0.145,0.188,0.583,0.806
0.8,90,0.167,0.236,0.708,0.889
0.1,100,0.076,0.101,-0.013,0.213
0.2,100,0.083,0.11,0.088,0.313
0.3,100,0.089,0.116,0.175,0.425
0.4,100,0.094,0.122,0.275,0.525
0.5,100,0.103,0.135,0.375,0.625
0.6,100,0.113,0.152,0.488,0.713
0.7,100,0.135,0.179,0.588,0.8
0.8,100,0.167,0.219,0.7,0.888
0.1,150,0.063,0.08,0.017,0.192
0.2,150,0.066,0.086,0.108,0.3
0.3,150,0.07,0.091,0.2,0.4
0.4,150,0.076,0.101,0.3,0.5
0.5,150,0.085,0.107,0.4,0.592
0.6,150,0.096,0.125,0.508,0.692
0.7,150,0.107,0.143,0.608,0.783
0.8,150,0.135,0.181,0.725,0.867
0.1,200,0.054,0.071,0.025,0.181
0.2,200,0.058,0.074,0.119,0.288
0.3,200,0.063,0.082,0.219,0.388
0.4,200,0.066,0.086,0.313,0.488
0.5,200,0.074,0.096,0.419,0.581
0.6,200,0.081,0.104,0.519,0.681
0.7,200,0.096,0.125,0.625,0.769
0.8,200,0.118,0.153,0.731,0.863
0.1,250,0.049,0.063,0.03,0.17
0.2,250,0.051,0.066,0.125,0.275
0.3,250,0.056,0.072,0.225,0.375
0.4,250,0.06,0.078,0.325,0.475
0.5,250,0.066,0.085,0.425,0.575
0.6,250,0.074,0.095,0.53,0.675
0.7,250,0.085,0.11,0.635,0.765
0.8,250,0.103,0.135,0.74,0.855
0.1,300,0.044,0.057,0.038,0.167
0.2,300,0.048,0.063,0.133,0.267
0.3,300,0.051,0.064,0.229,0.371
0.4,300,0.054,0.071,0.329,0.471
0.5,300,0.06,0.077,0.433,0.571
0.6,300,0.065,0.084,0.533,0.667
0.7,300,0.078,0.102,0.638,0.758
0.8,300,0.094,0.122,0.746,0.85
