Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.1,15,0.205,0.271,-0.167,0.417
0.2,15,0.219,0.306,-0.083,0.5
0.3,15,0.231,0.306,0,0.583
0.4,15,0.25,0.375,0.083,0.667
0.5,15,0.286,0.375,0.167,0.833
0.6,15,0.375,0.464,0.333,0.917
0.7,15,0.375,0.583,0.417,0.917
0.8,15,1,1,0.583,1
0.1,20,0.167,0.231,-0.125,0.375
0.2,20,0.196,0.25,-0.063,0.438
0.3,20,0.205,0.271,0.063,0.563
0.4,20,0.219,0.286,0.125,0.688
0.5,20,0.25,0.306,0.25,0.75
0.6,20,0.286,0.375,0.313,0.813
0.7,20,0.375,0.375,0.438,0.938
0.8,20,0.464,1,0.563,1
0.1,25,0.145,0.211,-0.1,0.35
0.2,25,0.167,0.219,-0.05,0.45
0.3,25,0.167,0.236,0.05,0.55
0.4,25,0.196,0.25,0.15,0.65
0.5,25,0.219,0.306,0.25,0.75
0.6,25,0.25,0.375,0.35,0.8
0.7,25,0.286,0.375,0.5,0.9
0.8,25,0.375,0.583,0.6,0.95
0.1,30,0.145,0.188,-0.083,0.292
0.2,30,0.148,0.196,0,0.417
0.3,30,0.167,0.211,0.083,0.5
0.4,30,0.167,0.231,0.167,0.625
0.5,30,0.196,0.25,0.292,0.708
0.6,30,0.219,0.286,0.375,0.792
0.7,30,0.25,0.375,0.5,0.875
0.8,30,0.375,0.5,0.625,0.958
0.1,35,0.135,0.167,-0.071,0.286
0.2,35,0.135,0.185,0,0.393
0.3,35,0.148,0.196,0.107,0.5
0.4,35,0.167,0.219,0.179,0.607
0.5,35,0.167,0.25,0.286,0.679
0.6,35,0.205,0.271,0.393,0.786
0.7,35,0.25,0.327,0.5,0.857
0.8,35,0.375,0.375,0.643,0.929
0.1,40,0.12,0.167,-0.063,0.281
0.2,40,0.135,0.181,0.031,0.375
0.3,40,0.141,0.185,0.125,0.5
0.4,40,0.148,0.196,0.219,0.594
0.5,40,0.167,0.226,0.313,0.688
0.6,40,0.191,0.25,0.406,0.781
0.7,40,0.219,0.286,0.531,0.844
0.8,40,0.286,0.375,0.656,0.938
0.1,45,0.113,0.153,-0.056,0.278
0.2,45,0.12,0.154,0.028,0.389
0.3,45,0.135,0.181,0.111,0.472
0.4,45,0.145,0.188,0.222,0.583
0.5,45,0.167,0.211,0.333,0.667
0.6,45,0.167,0.231,0.417,0.778
0.7,45,0.205,0.271,0.528,0.833
0.8,45,0.25,0.375,0.667,0.917
0.1,50,0.107,0.143,-0.05,0.25
0.2,50,0.113,0.152,0.05,0.375
0.3,50,0.125,0.167,0.125,0.475
0.4,50,0.135,0.167,0.225,0.575
0.5,50,0.145,0.196,0.325,0.675
0.6,50,0.167,0.226,0.425,0.75
0.7,50,0.196,0.25,0.55,0.85
0.8,50,0.25,0.375,0.675,0.925
0.1,60,0.099,0.128,-0.042,0.25
0.2,60,0.107,0.139,0.063,0.354
0.3,60,0.113,0.152,0.146,0.458
0.4,60,0.125,0.167,0.25,0.563
0.5,60,0.138,0.185,0.354,0.646
0.6,60,0.148,0.196,0.458,0.75
0.7,60,0.167,0.25,0.563,0.833
0.8,60,0.219,0.306,0.688,0.917
0.1,70,0.091,0.12,-0.018,0.232
0.2,70,0.099,0.13,0.071,0.339
0.3,70,0.103,0.135,0.161,0.446
0.4,70,0.118,0.153,0.25,0.554
0.5,70,0.125,0.167,0.357,0.643
0.6,70,0.141,0.185,0.464,0.732
0.7,70,0.167,0.219,0.571,0.821
0.8,70,0.205,0.286,0.696,0.893
