Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.7,200,0.111,0.145,0.62,0.773
0.8,200,0.14,0.187,0.733,0.867
0.1,250,0.058,0.075,0.019,0.179
0.2,250,0.061,0.078,0.12,0.28
0.3,250,0.065,0.086,0.216,0.381
0.4,250,0.07,0.091,0.317,0.483
0.5,250,0.078,0.101,0.419,0.579
0.6,250,0.086,0.111,0.525,0.675
0.7,250,0.103,0.135,0.632,0.765
0.8,250,0.124,0.162,0.739,0.856
0.1,300,0.052,0.066,0.031,0.169
0.2,300,0.056,0.074,0.129,0.276
0.3,300,0.059,0.076,0.227,0.373
0.4,300,0.065,0.083,0.324,0.476
0.5,300,0.069,0.091,0.427,0.573
0.6,300,0.082,0.106,0.529,0.667
0.7,300,0.093,0.118,0.636,0.76
0.8,300,0.111,0.145,0.747,0.853
