Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.1,15,0.238,0.333,-0.156,0.378
0.2,15,0.259,0.333,-0.156,0.556
0.3,15,0.259,0.333,-0.067,0.644
0.4,15,0.333,0.429,0.111,0.733
0.5,15,0.333,0.467,0.2,0.822
0.6,15,0.333,0.556,0.289,0.911
0.7,15,0.556,1,0.378,0.911
0.8,15,1,1,0.556,1
0.1,20,0.216,0.282,-0.133,0.4
0.2,20,0.222,0.289,-0.067,0.467
0.3,20,0.25,0.333,0,0.6
0.4,20,0.259,0.333,0.133,0.667
0.5,20,0.333,0.407,0.2,0.8
0.6,20,0.333,0.467,0.333,0.867
0.7,20,0.333,0.556,0.467,0.933
0.8,20,0.667,1,0.6,1
0.1,25,0.185,0.25,-0.12,0.36
0.2,25,0.2,0.259,-0.067,0.467
0.3,25,0.222,0.282,0.04,0.573
0.4,25,0.238,0.333,0.147,0.627
0.5,25,0.259,0.333,0.253,0.733
0.6,25,0.333,0.394,0.36,0.84
0.7,25,0.333,0.467,0.467,0.893
0.8,25,0.467,0.733,0.627,0.947
0.1,30,0.175,0.222,-0.111,0.333
0.2,30,0.185,0.238,-0.022,0.422
0.3,30,0.2,0.25,0.067,0.556
0.4,30,0.2,0.273,0.156,0.644
0.5,30,0.238,0.333,0.289,0.733
0.6,30,0.259,0.333,0.378,0.822
0.7,30,0.333,0.429,0.511,0.867
0.8,30,0.333,0.556,0.6,0.956
0.1,35,0.152,0.2,-0.105,0.314
0.2,35,0.167,0.216,-0.029,0.429
0.3,35,0.185,0.238,0.086,0.543
0.4,35,0.2,0.259,0.162,0.619
0.5,35,0.2,0.273,0.276,0.695
0.6,35,0.238,0.333,0.39,0.81
0.7,35,0.333,0.394,0.505,0.886
0.8,35,0.333,0.556,0.619,0.924
0.1,40,0.143,0.188,-0.1,0.3
0.2,40,0.158,0.2,0,0.4
0.3,40,0.167,0.216,0.1,0.5
0.4,40,0.179,0.238,0.2,0.6
0.5,40,0.2,0.259,0.3,0.7
0.6,40,0.222,0.282,0.4,0.767
0.7,40,0.259,0.333,0.533,0.867
0.8,40,0.333,0.467,0.633,0.933
0.1,45,0.14,0.183,-0.067,0.289
0.2,45,0.147,0.188,0.022,0.378
0.3,45,0.152,0.2,0.111,0.496
0.4,45,0.175,0.228,0.2,0.585
0.5,45,0.185,0.238,0.319,0.674
0.6,45,0.216,0.273,0.407,0.763
0.7,45,0.238,0.333,0.526,0.852
0.8,45,0.333,0.429,0.644,0.941
0.1,50,0.135,0.171,-0.067,0.28
0.2,50,0.14,0.183,0.013,0.387
0.3,50,0.147,0.2,0.12,0.493
0.4,50,0.158,0.2,0.227,0.573
0.5,50,0.175,0.228,0.307,0.68
0.6,50,0.2,0.259,0.413,0.76
0.7,50,0.238,0.333,0.547,0.84
0.8,50,0.333,0.333,0.653,0.92
0.1,60,0.122,0.158,-0.044,0.267
0.2,60,0.126,0.167,0.044,0.378
0.3,60,0.137,0.176,0.133,0.467
0.4,60,0.147,0.19,0.222,0.556
0.5,60,0.158,0.21,0.333,0.667
0.6,60,0.185,0.238,0.444,0.756
0.7,60,0.2,0.273,0.556,0.822
0.8,60,0.259,0.333,0.667,0.911
0.1,70,0.111,0.141,-0.048,0.257
0.2,70,0.12,0.152,0.048,0.352
0.3,70,0.124,0.162,0.143,0.448
0.4,70,0.137,0.176,0.257,0.562
0.5,70,0.152,0.2,0.352,0.638
0.6,70,0.167,0.212,0.448,0.733
0.7,70,0.2,0.259,0.562,0.829
0.8,70,0.238,0.333,0.676,0.905
0.1,80,0.103,0.136,-0.033,0.233
0.2,80,0.111,0.141,0.067,0.35
0.3,80,0.111,0.147,0.15,0.45
0.4,80,0.124,0.162,0.25,0.55
0.5,80,0.14,0.183,0.367,0.633
0.6,80,0.158,0.21,0.467,0.733
0.7,80,0.185,0.246,0.583,0.817
0.8,80,0.222,0.289,0.7,0.9
0.1,90,0.096,0.126,-0.022,0.23
0.2,90,0.103,0.135,0.067,0.333
0.3,90,0.111,0.141,0.156,0.437
0.4,90,0.121,0.152,0.259,0.541
0.5,90,0.126,0.167,0.363,0.63
0.6,90,0.147,0.19,0.467,0.719
0.7,90,0.167,0.228,0.585,0.807
0.8,90,0.216,0.282,0.704,0.896
0.1,100,0.091,0.118,-0.027,0.227
0.2,100,0.096,0.127,0.067,0.333
0.3,100,0.103,0.133,0.173,0.427
0.4,100,0.111,0.145,0.267,0.533
0.5,100,0.124,0.162,0.373,0.627
0.6,100,0.14,0.179,0.48,0.72
0.7,100,0.158,0.212,0.587,0.8
0.8,100,0.2,0.259,0.707,0.893
0.1,150,0.075,0.097,0.004,0.2
0.2,150,0.079,0.106,0.093,0.307
0.3,150,0.083,0.106,0.191,0.404
0.4,150,0.092,0.118,0.298,0.502
0.5,150,0.102,0.128,0.396,0.6
0.6,150,0.111,0.149,0.502,0.698
0.7,150,0.13,0.171,0.609,0.787
0.8,150,0.16,0.212,0.724,0.876
0.1,200,0.067,0.086,0.013,0.187
0.2,200,0.069,0.089,0.107,0.293
0.3,200,0.073,0.095,0.207,0.393
0.4,200,0.079,0.103,0.307,0.493
0.5,200,0.088,0.111,0.413,0.587
0.6,200,0.097,0.127,0.513,0.687
